,preco,area_m2,quartos,banheiros,andares,rua_principal,quarto_hospedes,porao,aquecimento_agua,ar_condicionado,vagas_garagem,area_preferencial,mobilia
141,1027727.2727272727,618.73,4,2,2,1,1,1,0,0,1,1,1
142,1018181.8181818182,975.48,4,2,2,1,0,0,0,0,1,0,1
143,1018181.8181818182,445.93,5,2,3,0,0,1,1,0,0,0,0
144,1018181.8181818182,436.64,4,1,2,1,1,1,0,1,1,0,2
145,1018181.8181818182,464.52,3,1,4,1,0,0,0,0,0,0,2
146,1018181.8181818182,975.48,2,1,1,1,0,0,0,0,1,0,1
147,1018181.8181818182,510.97,3,2,2,1,0,0,0,0,1,0,1
148,1018181.8181818182,590.86,3,1,3,1,0,0,0,0,0,1,1
149,1018181.8181818182,613.16,4,2,1,1,0,1,0,0,0,1,1
150,1018181.8181818182,477.15,3,1,2,1,1,1,0,1,0,1,0
151,1011818.1818181818,408.77,4,1,2,1,0,0,0,1,2,1,1
152,1011818.1818181818,501.68,5,1,2,1,1,1,0,1,0,1,2
153,1005454.5454545454,306.58,3,3,2,1,0,1,0,0,0,0,1
154,1005454.5454545454,339.1,3,2,2,1,0,0,0,0,2,0,1
155,1005454.5454545454,566.71,3,2,1,1,0,1,0,0,2,1,2
156,1004181.8181818182,641.03,3,1,1,1,1,1,0,0,0,1,1
157,999090.9090909091,261.71,4,2,2,0,1,1,0,0,1,0,2
158,999090.9090909091,741.37,3,1,1,1,0,0,0,0,2,0,1
159,992727.2727272727,292.64,3,2,1,1,1,1,0,1,0,0,2
160,992727.2727272727,576.93,4,1,4,1,1,0,0,1,0,0,2
161,992727.2727272727,566.71,3,1,3,1,1,0,0,1,0,1,1
162,992727.2727272727,613.16,4,2,2,1,1,1,0,0,0,1,1
163,986363.6363636364,634.06,3,1,1,1,1,1,0,1,0,1,1
164,980000.0,623.38,3,2,2,1,1,1,0,0,1,1,2
165,978727.2727272727,599.22,3,2,1,1,1,1,1,0,0,0,0
166,967272.7272727273,724.64,3,1,1,1,0,1,0,1,2,1,0
167,960909.0909090909,427.35,2,2,1,1,0,0,0,1,2,0,1
168,954545.4545454546,395.77,4,1,2,1,0,1,0,1,0,0,2
169,954545.4545454546,607.59,4,2,2,0,0,0,0,1,0,0,1
170,954545.4545454546,510.97,3,2,1,1,0,1,0,0,0,0,1
171,954545.4545454546,954.02,3,1,1,1,0,0,0,0,1,1,1
172,954545.4545454546,780.39,3,1,2,1,1,1,0,1,2,1,0
173,954545.4545454546,492.39,4,2,1,1,0,0,0,1,0,1,0
174,954545.4545454546,353.03,3,1,2,1,1,1,0,0,1,1,0
175,954545.4545454546,910.45,4,2,2,1,1,0,0,0,2,0,1
176,954545.4545454546,791.53,3,1,1,1,0,0,0,1,2,0,2
177,953272.7272727273,562.06,3,1,1,1,0,1,0,0,0,1,1
178,950727.2727272727,658.22,3,1,1,1,1,1,0,0,2,1,1
179,948181.8181818182,295.43,3,2,2,1,0,0,0,0,2,0,1
180,948181.8181818182,418.06,4,2,1,0,0,1,0,1,2,0,1
181,948181.8181818182,668.9,3,1,2,1,1,1,0,0,1,1,2
182,935454.5454545454,316.8,3,1,2,0,0,0,0,1,0,0,1
183,935454.5454545454,741.37,3,1,1,1,0,0,0,0,1,1,1
184,929090.9090909091,278.71,3,2,2,1,1,1,0,0,0,0,2
185,929090.9090909091,278.71,3,1,2,1,0,1,0,0,0,0,0
186,929090.9090909091,1060.02,2,1,2,1,0,0,0,0,0,1,2
187,929090.9090909091,566.71,3,1,1,1,0,1,0,1,0,1,1
188,922727.2727272727,531.41,2,1,2,1,0,0,0,1,0,1,0
189,916363.6363636364,328.88,2,1,1,0,1,1,0,0,0,0,1
190,916363.6363636364,706.06,4,1,2,1,0,0,0,1,2,0,2
191,916363.6363636364,994.06,3,1,2,1,1,1,0,0,0,0,1
192,916363.6363636364,613.16,3,1,1,1,1,1,0,0,0,1,2
193,915090.9090909091,445.93,2,1,1,1,1,1,0,0,0,0,1
194,910000.0,757.16,3,2,1,1,1,1,0,0,0,0,1
195,903636.3636363636,409.7,4,3,2,1,0,1,0,0,2,0,1
196,903636.3636363636,714.05,3,1,1,1,1,1,1,0,0,0,1
197,901090.9090909091,260.13,3,2,2,0,0,1,0,1,1,0,1
198,897272.7272727273,552.59,3,1,2,1,0,0,0,1,0,0,1
199,892181.8181818182,390.19,3,1,2,1,0,0,0,0,1,0,2
200,890909.0909090909,419.92,3,1,2,1,0,1,0,1,0,0,1
201,890909.0909090909,380.44,3,1,2,0,1,1,0,1,0,0,1
202,890909.0909090909,382.76,2,1,1,1,0,1,0,0,1,0,1
203,890909.0909090909,501.68,4,1,2,1,0,0,0,0,0,0,1
204,890909.0909090909,443.15,3,1,1,1,1,1,0,0,0,0,1
205,890909.0909090909,585.29,3,1,1,1,0,0,0,1,2,0,1
206,890909.0909090909,538.84,2,1,1,1,1,1,0,1,0,0,1
207,890909.0909090909,278.71,3,1,2,1,0,1,0,1,0,0,1
208,890909.0909090909,275.92,3,1,3,1,0,0,0,0,0,0,1
209,890909.0909090909,624.31,3,1,1,1,0,0,0,0,0,0,0
210,890909.0909090909,431.63,3,1,2,1,1,1,0,0,2,0,1
211,890909.0909090909,1198.45,3,1,1,1,0,0,0,0,2,0,2
212,889636.3636363636,317.73,4,2,2,1,0,1,0,1,2,0,1
213,889636.3636363636,464.05,4,2,1,1,0,1,0,0,0,0,1
214,884545.4545454546,404.13,2,1,1,1,0,1,0,0,0,0,0
215,878181.8181818182,386.48,3,1,3,1,0,0,0,0,0,0,0
216,878181.8181818182,561.13,3,1,1,1,0,0,0,0,2,1,1
217,878181.8181818182,637.5,3,1,2,1,0,0,0,1,2,1,2
218,878181.8181818182,447.33,2,1,1,1,0,0,0,1,0,1,1
219,871818.1818181818,650.32,3,1,2,1,0,1,0,0,0,0,0
220,871818.1818181818,752.51,4,1,4,1,0,1,0,1,2,0,1
221,866727.2727272727,317.73,4,2,2,1,0,0,0,0,0,0,1
222,865454.5454545454,851.55,2,1,1,1,0,1,0,1,2,0,1
223,865454.5454545454,587.24,3,1,2,1,0,1,0,1,1,0,2
224,865454.5454545454,951.33,2,1,1,1,0,0,0,1,2,1,0
225,864181.8181818182,598.3,2,1,1,1,0,0,0,1,3,0,1
226,852727.2727272727,480.31,3,1,4,1,0,0,0,1,0,0,1
227,852727.2727272727,557.42,2,1,1,1,0,1,0,1,1,0,2
228,852727.2727272727,337.24,3,1,2,1,0,0,0,0,2,0,1
229,852727.2727272727,898.09,4,2,2,1,1,1,0,0,1,0,1
230,852727.2727272727,501.68,2,1,2,1,0,0,0,0,0,1,1
231,852727.2727272727,401.34,3,1,1,1,0,0,0,0,0,1,1
232,846363.6363636364,347.92,3,1,2,1,0,1,0,0,0,0,2
233,840000.0,386.48,3,1,1,1,1,1,0,1,0,0,0
234,840000.0,360.46,3,2,2,1,0,1,0,0,2,0,1
235,840000.0,527.69,3,1,2,1,1,0,0,1,1,0,1
236,840000.0,266.63,2,1,2,1,1,1,0,0,0,1,1
237,840000.0,465.44,3,1,2,1,0,1,0,0,0,0,1
238,838727.2727272727,418.99,4,2,2,1,0,1,0,0,0,0,1
239,833636.3636363636,371.61,3,1,2,1,0,0,0,0,1,0,2
240,833636.3636363636,356.75,3,1,2,1,0,0,0,0,1,1,1
241,827272.7272727273,349.32,3,1,1,1,0,0,0,0,2,0,1
242,827272.7272727273,338.17,3,1,2,1,0,0,0,1,0,0,2
243,827272.7272727273,236.9,3,1,2,1,0,1,0,0,0,0,2
244,827272.7272727273,494.24,3,1,2,1,1,1,0,0,0,1,1
245,827272.7272727273,497.96,3,1,2,1,0,0,0,0,2,1,0
246,827272.7272727273,327.02,3,1,1,1,0,0,0,0,0,1,1
247,827272.7272727273,780.39,4,1,4,1,0,0,0,0,3,0,0
248,826000.0,380.9,2,2,1,1,1,1,0,0,0,0,1
249,826000.0,463.59,4,2,2,1,1,1,0,0,0,1,2
250,820909.0909090909,326.09,3,1,3,1,0,0,0,0,0,0,1
251,820909.0909090909,320.52,3,1,2,1,0,1,0,0,1,0,1
252,820909.0909090909,916.02,3,1,1,1,0,0,0,0,0,0,1
253,820909.0909090909,327.02,2,1,2,1,0,0,0,0,0,1,2
254,814545.4545454546,418.99,4,1,2,1,0,0,0,1,2,0,1
255,814545.4545454546,546.73,2,1,1,1,0,0,0,1,1,0,0
256,814545.4545454546,371.61,3,1,2,1,0,0,0,0,2,0,2
257,814545.4545454546,766.45,3,1,1,1,0,0,0,0,0,0,2
258,814545.4545454546,375.33,3,1,2,1,0,0,0,0,1,0,1
259,813272.7272727273,590.86,2,1,1,1,0,1,0,1,1,0,2
260,813272.7272727273,293.76,3,1,2,1,0,0,0,1,1,0,2
261,813272.7272727273,326.09,3,1,2,1,0,0,0,0,0,0,1
262,808181.8181818182,348.39,2,1,1,1,1,1,0,0,0,0,1
263,801818.1818181818,368.64,3,1,2,0,0,0,0,0,0,0,1
264,801818.1818181818,455.22,2,1,2,1,0,1,0,0,0,0,1
265,800545.4545454546,267.56,3,1,2,1,0,0,0,0,0,1,1
266,800545.4545454546,453.37,3,1,1,1,0,0,0,0,2,1,0
267,800545.4545454546,457.08,3,1,2,1,0,0,0,0,1,0,1
268,796727.2727272727,459.87,4,1,2,1,0,0,0,1,0,0,1
269,795454.5454545454,362.32,3,1,2,1,0,0,0,0,0,0,0
270,789090.9090909091,418.06,3,2,3,1,0,0,1,0,1,0,2
271,789090.9090909091,176.98,5,1,2,0,0,1,0,0,0,0,1
272,789090.9090909091,378.58,3,1,1,1,1,1,0,0,2,0,1
273,789090.9090909091,325.16,4,1,2,1,0,0,0,0,2,0,2
274,789090.9090909091,599.22,4,1,2,1,0,0,0,0,0,0,1
275,785272.7272727273,374.58,2,1,1,1,0,1,0,0,0,0,2
276,782727.2727272727,408.77,2,1,1,1,0,0,0,0,1,0,1
277,782727.2727272727,962.48,2,1,1,1,0,0,0,0,1,1,1
278,777636.3636363636,315.87,3,1,2,1,0,1,0,0,2,1,1
279,776363.6363636364,590.86,2,1,1,1,0,0,0,0,0,0,2
280,776363.6363636364,590.86,2,1,2,1,0,0,0,0,0,0,0
281,776363.6363636364,418.06,2,1,1,1,0,0,0,1,2,0,2
282,776363.6363636364,202.06,3,1,2,0,1,1,0,1,0,0,0
283,776363.6363636364,405.06,4,1,2,1,0,0,0,0,0,0,2
284,776363.6363636364,721.86,2,1,1,1,0,0,0,0,1,0,2
285,770000.0,617.8,3,1,2,1,1,0,0,0,0,0,1
286,770000.0,258.92,3,1,1,1,0,1,0,0,0,1,2
287,763636.3636363636,510.97,3,1,2,1,0,0,0,1,0,0,0
288,763636.3636363636,468.23,3,1,2,1,0,1,0,1,0,0,0
289,763636.3636363636,543.48,2,1,1,1,1,1,0,0,2,0,1
290,763636.3636363636,242.48,4,3,2,0,0,0,0,0,0,0,1
291,763636.3636363636,274.34,3,1,2,1,0,1,0,1,0,0,0
292,763636.3636363636,255.2,4,2,2,0,0,0,0,0,0,0,1
293,763636.3636363636,409.7,2,1,1,0,0,0,0,0,1,0,0
294,763636.3636363636,371.61,4,2,2,0,0,0,0,0,0,0,1
295,763636.3636363636,216.0,3,1,2,0,0,0,0,0,0,0,1
296,763636.3636363636,427.35,3,2,2,1,0,0,0,1,1,0,1
297,763636.3636363636,338.17,3,2,2,1,0,1,0,0,0,0,0
298,763636.3636363636,538.84,3,1,1,1,0,0,1,0,2,0,1
299,763636.3636363636,650.32,3,1,1,1,0,0,0,0,3,0,2
300,763636.3636363636,378.95,3,1,3,1,0,0,0,0,0,0,1
301,763636.3636363636,327.02,3,1,2,1,0,0,0,0,0,1,1
302,763636.3636363636,199.28,3,1,3,1,0,0,0,0,1,1,0
303,763636.3636363636,418.06,3,1,1,1,0,1,0,0,0,0,2
304,762363.6363636364,766.45,3,1,1,1,0,1,0,0,3,0,1
305,762363.6363636364,320.52,3,1,2,1,0,0,0,0,1,0,1
306,757272.7272727273,449.65,3,1,2,1,0,0,0,0,1,0,1
307,757272.7272727273,379.04,3,1,2,1,0,0,0,0,2,0,1
308,757272.7272727273,375.89,3,1,2,1,0,1,0,0,1,0,1
309,750909.0909090909,430.33,4,1,2,1,0,0,0,1,0,0,1
310,750909.0909090909,556.02,3,1,1,1,0,1,0,0,0,0,1
311,749636.3636363636,562.99,2,1,1,1,0,1,0,0,1,0,1
312,745181.8181818182,334.45,3,1,1,1,0,1,0,1,0,1,2
313,744545.4545454546,341.88,3,2,2,1,0,0,0,0,0,0,1
314,744545.4545454546,375.33,2,1,2,1,0,0,0,0,1,0,1
315,744545.4545454546,520.26,2,1,1,1,0,0,0,1,0,0,1
316,738181.8181818182,548.13,4,2,2,0,0,1,0,0,1,0,0
317,738181.8181818182,463.77,3,2,2,1,0,0,0,0,2,0,0
318,738181.8181818182,403.2,3,1,1,1,0,0,0,0,0,0,1
319,738181.8181818182,278.71,4,1,3,1,0,1,0,1,2,0,1
320,738181.8181818182,401.34,3,1,2,1,0,0,0,0,2,1,2
321,731818.1818181818,337.24,3,2,2,1,0,0,1,0,2,0,1
322,731818.1818181818,321.44,3,2,1,1,0,1,0,1,1,0,2
323,731818.1818181818,501.68,3,1,1,1,0,0,0,0,3,0,1
324,728636.3636363636,418.06,3,1,2,0,0,1,0,1,0,0,1
325,728636.3636363636,321.44,4,1,2,1,0,0,0,1,0,0,1
326,725454.5454545454,380.9,4,1,1,0,0,1,0,0,0,0,0
327,725454.5454545454,602.01,3,1,2,0,0,0,0,1,1,0,1
328,725454.5454545454,418.06,3,2,2,0,0,1,0,1,0,0,1
329,725454.5454545454,367.9,3,1,2,1,0,0,0,0,0,0,2
330,725454.5454545454,376.26,2,1,2,1,1,1,0,0,0,1,0
331,712727.2727272727,674.48,3,2,1,1,1,1,0,0,3,0,2
332,712727.2727272727,510.97,4,1,2,1,1,1,0,0,0,0,1
333,712727.2727272727,278.71,3,1,2,1,0,0,0,0,0,0,1
334,712727.2727272727,305.65,2,1,1,1,0,0,1,0,1,0,2
335,712727.2727272727,354.52,2,1,1,1,0,1,0,1,2,0,2
336,712727.2727272727,750.66,3,1,1,1,0,0,0,1,2,0,1
337,712727.2727272727,199.28,4,2,1,1,0,1,0,0,0,1,0
338,706363.6363636364,351.17,2,1,2,1,1,1,0,0,0,0,1
339,706363.6363636364,295.43,4,2,2,1,0,0,0,0,0,0,2
340,700000.0,492.39,5,2,2,1,0,0,0,0,0,0,1
341,700000.0,295.43,2,2,1,1,0,1,0,0,2,0,1
342,700000.0,664.44,3,1,2,1,0,0,0,1,0,0,2
343,700000.0,379.04,2,1,1,1,0,0,0,0,0,0,1
344,700000.0,357.68,2,1,1,1,0,0,0,0,0,0,1
345,700000.0,187.2,3,1,2,1,0,1,0,0,0,1,1
346,700000.0,202.16,2,1,2,1,1,0,0,0,0,1,1
347,697454.5454545454,311.23,3,1,2,1,0,0,0,0,0,0,0
348,693636.3636363636,292.64,2,2,1,0,0,1,0,0,0,0,1
349,687272.7272727273,447.79,3,1,2,1,0,0,0,0,0,0,1
350,687272.7272727273,317.73,2,1,2,1,0,0,1,0,1,0,1
351,687272.7272727273,334.45,2,1,1,1,0,0,0,0,0,0,1
352,687272.7272727273,541.62,2,1,1,1,0,0,0,0,2,0,0
353,687272.7272727273,265.33,3,1,3,1,0,0,0,0,0,1,2
354,687272.7272727273,780.39,2,1,1,1,0,0,0,0,1,0,2
355,686000.0,766.45,3,1,1,1,0,0,0,0,2,0,2
356,686000.0,234.12,5,2,1,0,0,1,0,1,1,0,2
357,686000.0,643.82,4,1,2,0,0,0,0,0,1,0,2
358,680909.0909090909,323.3,2,1,1,1,0,0,0,0,0,1,1
359,674545.4545454546,334.45,3,1,1,1,0,0,0,0,1,0,0
360,674545.4545454546,375.33,2,1,1,1,0,0,0,0,0,0,1
361,674545.4545454546,559.28,3,1,1,1,0,0,0,0,0,0,1
362,674545.4545454546,376.26,2,1,1,1,0,0,0,0,0,0,2
363,674545.4545454546,332.96,2,1,1,1,0,0,1,0,0,0,1
364,673272.7272727273,289.86,3,1,2,0,0,1,1,0,0,0,1
365,673272.7272727273,506.32,2,1,1,1,0,0,0,0,0,0,2
366,668181.8181818182,337.24,2,1,1,1,0,1,0,0,0,0,2
367,668181.8181818182,337.24,2,1,1,1,0,0,0,1,0,0,0
368,668181.8181818182,523.97,2,1,1,0,0,0,0,0,0,0,1
369,668181.8181818182,334.45,2,1,1,1,0,0,0,0,0,0,2
370,661818.1818181818,397.62,2,1,1,1,0,0,0,1,2,0,1
371,661818.1818181818,331.66,3,1,2,1,0,1,0,0,0,0,1
372,661818.1818181818,295.43,3,1,2,0,0,1,0,0,0,0,1
373,661818.1818181818,278.71,2,1,2,1,0,0,0,1,0,0,2
374,661818.1818181818,327.02,2,2,1,1,0,1,0,0,0,0,1
375,661818.1818181818,553.7,3,1,2,1,1,1,0,0,0,0,0
376,661818.1818181818,383.69,3,2,2,1,0,0,0,0,2,0,1
377,661818.1818181818,264.77,3,2,2,0,0,1,0,0,0,1,0
378,661818.1818181818,211.35,3,1,3,1,0,0,1,1,0,1,1
379,660545.4545454546,327.02,3,1,1,1,0,0,0,0,2,1,0
380,655454.5454545454,418.06,2,1,1,1,0,0,0,0,0,0,1
381,655454.5454545454,371.61,2,1,1,1,0,0,0,0,0,1,1
